"","Actual_From","Actual_To","Weight","Degree_Row","Degree_Col"
"329",579,542,0.930617964814025,35,10
"330",579,545,0.966252651364407,35,10
"331",579,552,0.92412084926122,35,10
"332",579,556,0.925534524875359,35,10
"333",579,557,0.929348200591635,35,10
"334",579,570,0.926692290369941,35,10
"335",579,785,0.959025815533029,35,10
"343",594,203,1,5,1
"344",594,205,1,5,1
"356",626,1033,1,19,9
"357",627,1033,1,19,9
"358",628,1033,1,16,9
"363",641,445,0.961512967945766,18,6
"375",698,1279,0.933333333333333,2,3
"432",785,626,0.95634100894694,4,45
"452",819,112,0.988590196145714,51,2
"477",855,626,0.966839966438074,4,45
"480",876,261,0.933211205988303,42,10
"481",876,542,0.932595971434989,42,10
"482",876,556,0.920806149827161,42,10
"483",876,785,0.931079534771584,42,10
"484",877,545,0.94153149542686,42,10
"485",877,785,0.936955065545898,42,10
"486",880,445,0.997769777460678,24,6
"487",880,446,0.926514917316776,24,6
"573",1016,855,1,5,25
"579",1033,1214,0.979455628255008,8,6
"580",1033,1215,0.932842205252866,8,6
"670",1173,137,1,3,1
"672",1181,110,1,2,11
"689",1214,1076,0.989035945232408,9,2
"690",1214,1078,0.93582646474525,9,2
"691",1215,1076,0.95072165865478,9,2
"692",1215,1078,0.992274283520977,9,2
"699",1225,626,0.963708518149092,4,45
"700",1226,626,0.969068647643124,4,45
"745",1278,1280,1,2,5
"746",1279,1280,1,2,5
"747",1280,311,0.987942728210132,4,3
"754",1285,698,1,18,1
"772",1324,27,1,38,1
"773",1324,40,1,38,1
"774",1324,177,1,38,1
"775",1324,204,1,38,1
"776",1324,245,1,38,1
"777",1324,314,1,38,1
"778",1324,365,1,38,1
"779",1324,500,1,38,1
"780",1324,548,1,38,1
"781",1324,907,1,38,1
"782",1324,950,1,38,1
"783",1324,959,1,38,1
"784",1324,1090,1,38,1
"785",1324,1130,1,38,1
"786",1324,1131,1,38,1
"787",1324,1156,1,38,1
"788",1324,1157,1,38,1
"789",1324,1158,1,38,1
"790",1324,1171,1,38,1
"791",1324,1173,1,38,1
"792",1324,1181,1,38,1
"793",1324,1234,1,38,1
"794",1324,1285,1,38,1
"795",1324,1313,1,38,1
"796",1324,1314,1,38,1
"797",1324,1327,1,38,1
"798",1324,1328,1,38,1
"799",1324,1387,1,38,1
"800",1328,106,1,2,1
"811",1346,1033,1,14,9
