gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ATF2,0.33446411380071556,0.46102836619207915,0.6556373721499502
ATF4,0.5999385400746583,0.11289275709135975,0.30529208581485434
ATF6B,0.14330837426753365,0.4590393644260499,0.13906865431728757
ATG12,0.8153282768363468,0.8881829024397282,0.5299635362642355
ATG16L1,0.7763146531227555,0.5925887196593107,0.5438440900603213
ATG5,0.4123187927393588,0.3565799752546301,0.9570439782080419
ATM,0.3818741781928359,0.40720830879753256,0.9798596851717688
ATP1A1,0.9504086315397045,0.9645325030166959,0.5778038282866317
ATP1A3,0.43854304691845736,0.5914221959893203,0.29517061478445716
ATP1B1,0.0343091440197011,0.01501454019666943,0.5551005257066516
ATP1B2,0.3721277241835815,0.7188500015244936,0.09345767369527255
ATP1B3,0.7866264937657156,0.45790065931705054,0.6139371987384628
ATP2A2,0.007110295752179305,0.005606255697142296,0.7851874313602388
ATP2A3,0.9418083703353152,0.265713833149985,0.04675559267397056
ATP2B1,0.6422515877471573,0.03679225149034701,0.07029406214399724
ATP2B4,0.14571676021270855,0.14001975030146532,0.7274050383994113
ATP6V1A,0.1359687082343353,0.10356678769069336,0.6206653547497681
ATP6V1B2,0.08295081588895901,0.0003642871056240005,0.13906865431728757
ATP6V1C1,0.6972559050594622,0.003457998605739596,0.0021603924820613055
ATP6V1C2,0.4935108967941855,0.12128492745196542,0.28291293355755254
ATP6V1D,0.2038465662648402,0.09379512741886337,0.9304835270228309
ATP6V1E1,0.7452432417596505,0.5207890249269959,0.6788153846840144
ATP6V1E2,0.07144039494769423,0.6272580370308151,0.1058035499741182
ATP6V1F,0.7866264937657156,0.8800053612605852,0.7794062602680653
ATP6V1G1,0.5935571421356693,0.5654530668412242,0.07348383934388
ATP6V1H,0.8308583759069824,0.7527173871989686,0.9467567529427549
ATR,0.8092721364627895,0.7319184677952669,0.8309830820341204
ATXN1,0.07421014936662217,0.013285693242116484,0.5556305334684396
ATXN1L,0.17412266237529717,0.04741278205051591,0.519289924935533
AVPR1A,0.9134721920827671,0.24793824695754996,0.4161150466681427
AVPR2,0.8752637771074617,0.09363092945298027,0.03138038163744484
AXIN1,0.7037350827618197,0.7882602993429726,0.4542577160266906
AXIN2,0.5876375489342285,0.987095088744046,0.23206970662505336
AZI2,0.5935571421356693,0.3071727369775497,0.920477921859207
BAD,0.7037350827618197,0.8867384180342242,0.8878729614677084
BAG4,0.0069360977150178865,0.00743584839306204,0.25485094415284987
BAX,0.4879508012158093,0.8212398492810546,0.6827426691254767
BBC3,0.3577640169690616,0.05528812044847063,0.2190743070560891
BCL10,0.7037350827618197,0.9903476329531049,0.5568093776410037
BCL2,0.2793278302525643,0.2818914905803966,0.8136984550404809
BCL2A1,0.2558585644316663,0.16239542258717451,0.38137364358001047
BCL2L1,0.4993892091165037,0.6051760490622232,0.05464578773780944
BCL2L11,0.7642864870187946,0.682294904174988,0.7594448858016566
BCL3,0.40705867390666384,0.954436564683866,0.17494634845648901
BCL6,0.0032237062975295815,0.004168487713625152,0.48964262739651215
BECN1,0.2038465662648402,0.019650985840945986,0.715970954770453
