gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
CCR7,0.6130074293939959,0.1134936329255808,0.463774132228755
CCR8,0.33000490095720986,0.09055850626284284,0.8230635643918908
CCR9,0.4019004035471444,0.5329068187509463,0.7971925034933852
CD14,0.16887561203626492,0.5883765432891565,0.04462628170407569
CD19,0.05046458978055575,0.007506616308525911,0.7383247774752277
CD22,0.5999385400746583,0.0516426228457181,0.013316914432250495
CD247,0.979711249641129,0.8505241919587332,0.9211223479364335
CD28,0.2632761704943477,0.04085336352819463,0.4679467808642655
CD36,0.5583798026386823,0.08357718697966039,0.20268501746685397
CD38,0.8711827352213887,0.8636189015323984,0.9163312852176199
CD3E,0.8092721364627895,0.17052974278466446,0.6335773478910997
CD4,0.5457497412889383,0.14587651658652298,0.12316163835345471
CD40,0.8836325288548256,0.4094130317504173,0.03655592242328852
CD40LG,0.05906697123303183,0.0016238163893145718,0.13708236620778846
CD72,0.005141172249150788,0.051953322902682196,0.09700312852660463
CD79A,0.09106495142476377,0.0018214924284358654,0.06396028148346292
CD79B,0.4993892091165037,0.14650449780549968,0.5793651435893443
CD80,0.05464475740983599,0.09536597676517951,0.5923508192965397
CD82,0.9247117509921577,0.6601669607997817,0.34025174489041904
CD86,0.0343091440197011,0.09591031165983668,0.39261065098606457
CD8A,0.27527898237892867,0.2505697680578999,0.7854561002703059
CD8B,0.40705867390666384,0.19118378510574102,0.5522707469141722
CDC25B,0.7763146531227555,0.08630193420212148,0.14038837980201294
CDC37,0.7577782104428301,0.17381444832594706,0.37310327893242207
CDC42,0.17148263413411421,0.2729673049018953,0.732971468230306
CDH1,0.7170365763169207,0.4079136740736707,0.709629036370104
CDK2,0.9676770721842997,0.16345520130073699,0.3452339013093864
CDK4,0.7232391303239585,0.7264185439902389,0.8258424567320926
CDK6,0.8453562790586819,0.7760033447184748,0.9907602149002736
CDKN1A,0.04130942490687636,0.04838943729115048,0.2465721857624616
CDKN1B,0.1768655876180201,0.24214144957255895,0.7724988616275171
CDKN2A,0.10124217907455062,0.333070156617466,0.2504725510253224
CDKN2B,0.14330837426753365,0.12888466932709597,0.5738180889305244
CDKN2D,0.5818632745378527,0.36966603037528534,0.9509342076075408
CDON,0.3969246881851866,0.5150022291684727,0.28952418920130035
CEBPB,0.05797527618284998,0.7375249765452544,0.05536051046593549
CFLAR,0.04663936050730617,0.7508979294325877,0.008976942335633712
CHAD,0.4019004035471444,0.8056295359569536,0.023883517998477172
CHD8,0.3624600981486589,0.7785456087352138,0.764295058110871
