gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
ADRB2,0.932483203851087,0.20985287759403784,0.3286033083969035
AFDN,0.8509404097599466,0.9262179858007533,0.674752658203079
AGAP2,0.8308583759069824,0.35794485561629047,0.7993523526878701
AGER,0.7577782104428301,0.1607940788139164,0.016077121842620414
AGT,0.5170607810483804,0.0920840827679546,0.2773198180939575
AIFM2,0.2595235226757511,0.20579202238517177,0.5760236077146806
AIM2,0.155328797181562,0.14961263021584362,0.8562182356506145
AKT1,0.8565168927411101,0.3879775274249719,0.8390572984573578
AKT1S1,0.12725908464492877,0.03196251463844237,0.49657303754804455
AKT2,0.2632761704943477,0.008282262682128009,0.23229514079700975
AKT3,0.17412266237529717,0.2605296357563352,0.31942981654898306
ALDOA,0.6365049898184146,0.2414696007852875,0.04605994022191453
ALDOC,0.43854304691845736,0.5752594069489549,0.5014963064377641
AMOT,0.18276464527763955,0.49106000293246754,0.3354322594282346
ANAPC5,0.1359687082343353,0.030824505527406773,0.37859215080775366
ANGPT1,0.8400775758556747,0.48747258203186883,0.9031837120331299
ANGPT2,0.24866898169496482,0.036634734857632315,0.3587411063577294
APAF1,0.6248998383742295,0.34120750283755225,0.9236945736940942
APBB1IP,0.7037350827618197,0.47696607528859986,0.7173323752074966
APC,0.8668653636305004,0.900526928501655,0.7361074728014912
APC2,0.035735977261628894,0.0652815318903509,0.38653082114150517
APH1A,0.33446411380071556,0.05333244213153561,0.682439854211273
APH1B,0.08151274049826387,0.013318583940327665,0.8247104193919266
ARAF,0.23040052541469294,0.028247303552649452,0.14616862008847087
ARAP3,0.2793278302525643,0.21122388723357668,0.9983381307095888
ARF1,0.7866264937657156,0.15382018710003958,0.6099048514992415
ARF6,0.5876375489342285,0.9077356187282553,0.44212175044374996
ARHGDIA,0.12725908464492877,0.04296961999671491,0.5827804027118856
ARHGDIB,0.5054228787904441,0.579028229210737,0.49526233547739135
ARHGEF12,0.9937756897035118,0.5409565451874953,0.6313067000849996
ARNT,0.46045236311082066,0.5024560274337996,0.9750528660716296
ARRB1,0.08603241527963895,0.04532793705797276,0.16760434662297294
ARRB2,0.4332410359462483,0.8393071671669892,0.1485886488774181
ASPH,0.985028677174726,0.10237745742009552,0.13367590199286486
ATF2,0.5341258833439698,0.006754776512226658,0.012373608075457752
ATF4,0.7917181018905581,0.7770440137695322,0.7724988616275171
ATF6B,0.3577640169690616,0.17618154358580237,0.6796713001481584
ATG12,0.07715312372370398,0.063423386528987,0.9831444379828527
ATG16L1,0.7577782104428301,0.21095221376403472,0.09829962547152445
ATG5,0.6618622454793752,0.2830013282366621,0.09726907959361998
ATM,0.5054228787904441,0.06986885141032216,0.15977380526834092
ATP1A1,0.23040052541469294,0.1304127856875206,0.3853859254869623
ATP1A3,0.3577640169690616,0.9071389416700536,0.43402592933427603
ATP1B1,0.1579894011966325,0.016216142684080358,0.527058388923254
ATP1B2,0.0328979400337106,0.026204431277550767,0.893553684634494
ATP1B3,0.07015221463835204,0.563226913133104,0.012522837601557547
ATP2A2,0.985028677174726,0.5865514298694787,0.7383247774752277
ATP2A3,0.69134350934851,0.027767013373970518,0.15293909211800452
ATP2B1,0.5644825037884655,0.0811117386977324,0.39079056762441483
ATP2B4,0.035735977261628894,0.041902401493558616,0.2663590279637213
ATP6V1A,0.6856730442416888,0.1865475141632256,0.41585272559363157
ATP6V1B2,0.43854304691845736,0.17076968187077454,0.8467242213445153
ATP6V1C1,0.8261667045097031,0.39516866254098565,0.258097872026565
ATP6V1C2,0.7104379056033857,0.8256514673256203,0.49450135845932053
ATP6V1D,0.17412266237529717,0.05788493181470194,0.6735633916490749
ATP6V1E1,0.18583071198422862,0.11389819493850398,0.7948531393260645
ATP6V1E2,0.7971263433675312,0.3940763588670275,0.6422683450442577
ATP6V1F,0.9391369982164172,0.9672667618636105,0.7773770183662102
ATP6V1G1,0.5818632745378527,0.6987872955688238,0.03906625567656101
ATP6V1H,0.2450000162574027,0.7063920517429134,0.08799486833910701
ATR,0.7513125085416539,0.401696889947411,0.9743779784126414
ATXN1,0.4879508012158093,0.12220459506064771,0.26060215783308976
ATXN1L,0.8354977126190273,0.8268958467453039,0.804550757327137
AVPR1A,0.7398266225704486,0.579028229210737,0.7241881237453235
AVPR2,0.9472881614328281,0.03504593768136732,0.04425553565256482
AXIN1,0.12515446138029124,0.051578695714783095,0.8023310691692858
AXIN2,0.522717469304167,0.00865508180016669,0.11990490062486349
AZI2,0.06636425866715276,0.050403752988318326,0.4584794585343113
BAD,0.035735977261628894,0.4164699671853797,0.04816192594959264
BAG4,0.16887561203626492,0.04476437323611549,0.9741361255416694
BAX,0.539767148095913,0.7767008045557251,0.6753134054108101
