gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
BCL10,0.4175313515909899,0.8025070938292244,0.7686545702690832
BCL2,0.21724418116988378,0.6494972092532744,0.06901646438874182
BCL2A1,0.5935571421356693,0.36687650775346836,0.13759817605391592
BCL2L1,0.3969246881851866,0.3982864342581919,0.15595372519536715
BCL2L11,0.7513125085416539,0.6655649051246949,0.5470620064457901
BCL3,0.32556752345556134,0.14732372124309615,0.9208242879122652
BCL6,0.6856730442416888,0.3010841949713555,0.6742493989760631
BECN1,0.7763146531227555,0.7827080821919887,0.6531293900956725
BEX3,0.0438446423977878,0.022239301290205227,0.31679829269203363
BID,0.8792804939196781,0.13456969624143642,0.21163839418905128
BIRC2,0.11072893500189748,0.4980746214349992,0.17891596115421635
BIRC3,0.5284242644797617,0.23551183607334888,0.0418716013651289
BLNK,0.30376235822428765,0.4224794270584314,0.0023964429844798105
BMP6,0.4659560568284491,0.060346492078126396,0.15144495547774317
BMP8A,0.8261667045097031,0.14384494432183997,0.07860874349281975
BMP8B,0.7343603997047338,0.7831968416903229,0.9549539664974027
BMPR1A,0.1579894011966325,0.005727187337339281,0.6616374806811678
BMPR2,0.8261667045097031,0.932928580681168,0.8084365519278661
BNIP3,0.8092721364627895,0.8131573887954032,0.9655563824570988
BORCS8-MEF2B,0.1186267477939201,0.10971647352009095,0.32825834411624344
BRAF,0.5457497412889383,0.8809716342124986,0.715970954770453
BRAP,0.30376235822428765,0.19671033618755884,0.30348912907479614
BRCA1,0.04950964868882695,0.2743856627014336,0.24853958949438756
BRCC3,0.1888966817440332,0.0178809026580008,0.2584434965383678
BTK,0.9639246780843279,0.8913177099636348,0.5747068937786367
BTRC,0.6422515877471573,0.9768108689040542,0.3917188620132838
CAB39,0.7866264937657156,0.877219950728607,0.44082990303223174
CAB39L,0.7170365763169207,0.9336899276806773,0.4716256114353173
CACNA1C,0.7343603997047338,0.5095643952096927,0.46496367792439763
CACNA1D,0.4659560568284491,0.618048127690912,0.6298263598104766
CACYBP,0.8308583759069824,0.7767008045557251,0.8112957188580812
CALM1,0.9101041900615348,0.26993362194554793,0.503206399206617
CALM2,0.4659560568284491,0.14667741792613068,0.5878282048762149
CALM3,0.021369588458375936,0.42699394435819293,0.008338518142192353
CALML4,0.7917181018905581,0.5538844596357839,0.16328189985375421
CAMK1,0.2595235226757511,0.22814555925684504,0.2686009768469386
CAMK1D,0.8752637771074617,0.616994096288738,0.2010130553521751
CAMK2D,0.993010979560727,0.6261284118241532,0.39596100706544896
CAMK2G,0.4437695930512152,0.42699394435819293,0.16462989923539836
CAMK4,0.08151274049826387,0.2009917116997902,0.5306615341055891
