gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
AIFM2,0.030209649107783298,0.03393830221343417,0.6929562184679197
AIM2,0.9564498402721354,0.6521212547380798,0.5231638565121431
AKT1,0.4332410359462483,0.4155880088163758,0.45395265132208884
AKT1S1,0.69134350934851,0.2673622622277398,0.22595605271284552
AKT2,0.9101041900615348,0.14835643024829906,0.046213194614538246
AKT3,0.7917181018905581,0.25920730708789225,0.18235135217246815
ALDOA,0.8453562790586819,0.9619267844658698,0.5288700042686507
ALDOC,0.42268117699741165,0.8572038608768382,0.4512573714123513
AMOT,0.42268117699741165,0.15115531477716046,0.01597462831880428
ANAPC5,0.7037350827618197,0.7534302461591013,0.9670370020443545
ANGPT1,0.9247117509921577,0.7109080374461946,0.7281738045450744
ANGPT2,0.160726876246269,0.7138772488296979,0.28971750035887156
APAF1,0.7232391303239585,0.2772567272938062,0.7207492210155754
APBB1IP,0.5520461189691753,0.13456969624143642,0.7710506038342617
APC,0.7642864870187946,0.6012990414657878,0.2782111080816853
APC2,0.09106495142476377,0.7666828818487847,0.03570616880538805
APH1A,0.4437695930512152,0.33925145844629356,0.559586107562292
APH1B,0.8453562790586819,0.33627415333917454,0.10746884205473153
ARAF,0.4879508012158093,0.057999686642502664,0.320535458512869
ARAP3,0.14085048571043557,0.06942670370636805,0.9395398199210772
ARF1,0.3125597428453923,0.3490650480331533,0.4955704960296797
ARF6,0.1948289848621864,0.6690099214824297,0.39552884905539326
ARHGDIA,0.27120714905997395,0.2844279711092744,0.026593551072764815
ARHGDIB,0.17412266237529717,0.5605946158918879,0.2313477079773552
ARHGEF12,0.9658322133411601,0.4870868435387899,0.2078080377864992
ARNT,0.1948289848621864,0.3604240380245755,0.6724471855023672
ARRB1,0.6307086214920312,0.9489146305993248,0.3307969918265096
ARRB2,0.27527898237892867,0.22805718456302923,0.6298263598104766
ASPH,0.9418083703353152,0.47696607528859986,0.5014963064377641
ATF2,0.18583071198422862,0.008360740532021729,0.13687877878292004
ATF4,0.9951141886012665,0.865755985089404,0.48014380985494765
ATF6B,0.9025911692509898,0.362067864723464,0.13217720819423773
ATG12,0.12080089615994999,0.05456976125733962,0.17399411497567996
ATG16L1,0.7104379056033857,0.3152034104013995,0.034478466624917214
ATG5,0.6485106223960626,0.04838943729115048,0.12795297455834448
ATM,0.4123187927393588,0.33046302496632995,0.5277024154181069
ATP1A1,0.5113620202897969,0.018434299766170847,0.2512365474716075
ATP1A3,0.8668653636305004,0.8541567578029564,0.19241159442363226
ATP1B1,0.6485106223960626,0.09890043068526053,0.122850974344652
ATP1B2,0.9863856554467135,0.08710427852049797,0.04905336305759467
ATP1B3,0.05464475740983599,0.009388799552577543,0.5360489051626156
ATP2A2,0.6618622454793752,0.824571160591864,0.11961480983817722
ATP2A3,0.4437695930512152,0.24090628147300225,0.9028156931887832
ATP2B1,0.8092721364627895,0.4967838639998578,0.20856507188099352
ATP2B4,0.07863144075736334,0.13786416543077293,0.842484441208361
ATP6V1A,0.8453562790586819,0.14363918736669937,0.1258466600538383
ATP6V1B2,0.24866898169496482,0.31739984866414794,0.8211578914098772
ATP6V1C1,0.7343603997047338,0.033578359426979135,0.04629023743342405
ATP6V1C2,0.4175313515909899,0.9970010043594689,0.25896194431280767
ATP6V1D,0.9888252067913242,0.3973426776121945,0.39289267111320514
ATP6V1E1,0.7170365763169207,0.7051932305525102,0.13875989955099144
ATP6V1E2,0.05464475740983599,0.2393870447367492,0.2470587145612363
ATP6V1F,1.0,1.0,1.0
ATP6V1G1,0.17412266237529717,0.12796802811137625,0.3391358082355819
ATP6V1H,0.6683056509199464,0.8191918854220769,0.8464895493896027
ATR,0.2912438188319573,0.3833333971154555,0.17603779721663948
