"","Actual_From","Actual_To","Weight"
"4499",653,606,0.781294277894582
"4500",653,607,0.735472019042866
"4501",653,608,0.953694169787431
"4502",653,609,0.70739133207831
"4504",653,613,0.556348979102506
"4506",653,616,0.642012371597082
"4507",653,617,0.639088589506049
"4508",653,618,0.593611838844392
"4509",653,619,0.591094072590856
"4511",654,601,0.954069420497943
"4512",654,602,1
"4513",654,603,0.902582462691986
"4514",654,604,0.76920886143137
"4515",654,605,0.831395776004167
"4516",654,606,0.797597718530752
"4517",654,607,0.739836703197497
"4518",654,608,0.954271361345999
"4519",654,609,0.711971308484713
"4521",654,613,0.558429406454098
"4523",654,616,0.643244958307381
"4524",654,617,0.641420910088102
"4525",654,618,0.599218816271103
"4526",654,619,0.599381530567091
"4528",655,1124,0.854535432492228
"4529",655,1125,1
"4530",655,1126,0.671024723221395
"4531",655,1127,0.922914771212148
"4532",656,1124,0.870160934992351
"4533",656,1125,0.904946945572899
"4534",656,1126,0.721594554749006
"4535",656,1127,1
"4536",657,707,0.46182806493891
"4537",657,708,0.466043734161356
"4538",657,1124,0.851471249234871
"4539",657,1125,0.936011359812281
"4540",657,1126,0.729082551992822
"4541",657,1127,1
"4542",658,1124,0.867990427022936
"4543",658,1125,0.910197534858375
"4544",658,1126,0.722039106454718
"4545",658,1127,1
"4546",659,1124,0.898558790333195
"4547",659,1125,0.935120689783694
"4548",659,1126,0.726985652140951
"4549",659,1127,1
"4581",669,147,0.944191126553222
"4585",669,953,1
"4593",681,1146,1
"4879",726,707,0.363714026321564
"4880",726,708,0.365015959077338
"5418",771,1022,1
"5419",771,1040,0.0716586116372557
"5423",775,318,1
"5424",775,841,0.999267050892035
"5425",775,842,0.960935883689316
"5462",788,381,0.985214802484569
"5463",788,410,0.988219415522309
"5464",788,411,0.972673521396666
"5466",788,422,1
"5506",800,826,1
"5586",815,1239,1
"5697",826,1040,1
"5698",827,1040,1
"5705",830,1040,1
"5706",831,1040,1
"5708",833,73,1
"5711",834,73,1
"5712",834,74,0.389320765869895
"5714",834,827,0.321873018114513
"5749",841,1124,0.976437087002565
"5750",841,1125,1
"5751",842,1124,0.724691666457372
"5752",842,1125,1
"5798",854,260,0.945014130385823
"5799",854,261,0.903466778286109
"5800",854,262,0.965997541486902
