"","gene_node_idx","gene_node_name","Weight1","node1","Weight2","node2","t2ds_pret2ds_pvalue","t2ds_no_t2ds_pvalue","pret2ds_no_t2ds_pvalue"
"50",198,"CD40",0.228118575621814,"node_type1",0.228370447563346,"node_type2",0.956292378059962,0.308772504149247,0.150700262955472
"51",199,"CD40LG",0.415418113634454,"node_type1",0.417588234273123,"node_type2",0.0724790387333041,0.00131441345764368,0.510545579655507
"52",203,"CD80",0.2,"node_type1",0.2,"node_type2",0.0472551285533821,0.0456568956536385,0.640920025405627
"53",205,"CD86",0.2,"node_type1",0.2,"node_type2",0.0107455832853915,0.0348034961527034,0.276247456657636
"54",206,"CD8A",0.187459889508235,"node_type1",0.190085248910385,"node_type2",0.409238805512204,0.252278918917328,0.869484831065768
"55",207,"CD8B",0.181626282050882,"node_type1",0.193049080003013,"node_type2",0.517812974568938,0.108218691615287,0.355111286324304
"56",211,"CDH1",0.326138815506268,"node_type1",0.326963496904712,"node_type2",0.991254274250592,0.807878467909962,0.773646079079772
"59",222,"CFLAR",0.144632864013411,"node_type1",0.148631814734541,"node_type2",0.112679081392052,0.946133659587143,0.0260826917798645
"62",230,"CLEC1B",0.256782518871275,"node_type1",0.262354666053846,"node_type2",0.978762463347151,0.222161430643057,0.203194139852514
"63",231,"CLEC4D",0.306320193863521,"node_type1",0.307486386266426,"node_type2",0.318529698738085,0.423072649601417,0.0132319338743381
"64",232,"CLEC4E",0.131458300791943,"node_type1",0.130858386606679,"node_type2",0.338683234397742,0.954563569703595,0.145603516684025
"65",233,"CLEC7A",0.179126431610823,"node_type1",0.179519956225329,"node_type2",0.569746503855585,0.253312382553662,0.666792826500372
"66",276,"CTNNA1",0.0640411497927341,"node_type1",0.0640866981748664,"node_type2",0.687361305599233,0.127028984814027,0.201282109594415
"67",279,"CTNND1",0.362841309377451,"node_type1",0.364779271564103,"node_type2",0.0349204993615123,0.167905135361462,0.212592164435121
"74",299,"CYLD",0.0906754507504682,"node_type1",0.0904130990545408,"node_type2",0.017977165183091,0.00157831591273272,0.617204815082893
"82",317,"DDX3X",0.171347939778431,"node_type1",0.172004095936538,"node_type2",0.324645388861216,0.48651286010683,0.487161929944872
"84",319,"DHX33",0.539568117167272,"node_type1",0.539621514745266,"node_type2",0.724591191042985,0.590783937336023,0.95397303149034
"85",320,"DHX58",0.308924302619608,"node_type1",0.308238786338461,"node_type2",0.913957851767558,0.205198001098683,0.0570746873726002
"100",382,"ERBIN",1,"node_type1",1,"node_type2",0.284837370141804,0.143970834572531,0.722292010385075
"104",391,"EXOC2",0.187790892568018,"node_type1",0.18741197823046,"node_type2",0.511749641908948,0.311146394916237,0.0312211398483258
