gene_node_idx,gene_node_name
557,IL13RA1
558,IL15
559,IL15RA
560,IL17RA
561,IL17RB
562,IL17RC
563,IL18
564,IL1B
565,IL1R1
566,IL1RAP
567,IL21R
568,IL23A
569,IL24
570,IL27RA
571,IL2RA
572,IL2RB
573,IL2RG
574,IL3RA
575,IL4R
576,IL5RA
577,IL6R
578,IL6ST
579,IL7
580,IL7R
581,ILK
582,INHBB
583,INPP5D
584,INPPL1
585,INSR
586,INVS
587,IQCE
588,IRAG1
589,IRAK1
590,IRAK2
591,IRAK3
592,IRAK4
593,IRF1
594,IRF3
595,IRF5
596,IRF7
597,IRF9
598,IRS1
599,IRS2
600,ITCH
601,ITGA1
602,ITGA11
603,ITGA2
604,ITGA2B
605,ITGA3
606,ITGA4
607,ITGA5
608,ITGA6
609,ITGA9
610,ITGAL
611,ITGAM
612,ITGAV
613,ITGB1
614,ITGB2
615,ITGB3
616,ITGB4
617,ITGB5
618,ITGB7
619,ITGB8
620,ITK
621,ITPR1
622,ITPR2
623,ITPR3
624,JAG1
625,JAG2
626,JAK1
627,JAK2
628,JAK3
629,JMJD7-PLA2G4B
630,JUN
631,JUND
632,KAT2A
633,KAT2B
634,KCNJ2
635,KCNJ9
636,KCNMA1
637,KCNMB1
638,KCNMB3
639,KIDINS220
640,KIF3A
641,KIT
642,KLF2
643,KLF4
644,KRAS
645,KRIT1
646,KRT10
647,KRT23
648,KSR1
649,LAMA2
650,LAMA5
651,LAMB1
652,LAMB2
653,LAMC1
654,LAMC3
655,LAMTOR1
656,LAMTOR2
657,LAMTOR3
658,LAMTOR4
659,LAMTOR5
660,LAT
661,LATS1
662,LATS2
663,LCK
664,LCN2
665,LCP2
666,LDHA
667,LDHB
668,LEF1
669,LEPR
670,LFNG
671,LILRA1
672,LILRA2
673,LILRA4
674,LILRA5
675,LILRA6
676,LILRB1
677,LILRB2
678,LILRB3
679,LILRB4
680,LILRB5
681,LIMD1
682,LIPE
683,LLGL1
684,LLGL2
685,LPAR1
686,LPAR2
687,LPAR5
688,LPAR6
689,LPIN1
690,LPIN2
691,LPL
692,LRP5
693,LRP6
694,LSP1
695,LTA
696,LTB
697,LTB4R2
698,LTBP1
699,LTBR
700,LY96
701,LYN
702,MAGI3
703,MALT1
704,MAML1
705,MAML2
706,MAML3
707,MAP2K1
708,MAP2K2
709,MAP2K3
710,MAP2K4
711,MAP2K5
712,MAP2K6
713,MAP2K7
714,MAP3K1
715,MAP3K11
716,MAP3K12
717,MAP3K13
718,MAP3K14
719,MAP3K2
720,MAP3K20
721,MAP3K3
722,MAP3K4
723,MAP3K5
724,MAP3K6
725,MAP3K7
726,MAP3K8
727,MAP4K1
728,MAP4K2
729,MAP4K3
730,MAP4K4
731,MAPK1
732,MAPK10
733,MAPK11
734,MAPK12
735,MAPK13
736,MAPK14
737,MAPK3
738,MAPK6
739,MAPK7
740,MAPK8
741,MAPK8IP1
742,MAPK8IP3
743,MAPK9
744,MAPKAP1
745,MAPKAPK2
746,MAPKAPK3
747,MAPKAPK5
748,MAPT
749,MAVS
750,MAX
751,MCL1
752,MDM2
753,MDM4
754,ME3
755,MED1
756,MED12
757,MED12L
758,MED13
759,MED13L
760,MED14
761,MED16
762,MED17
763,MED24
764,MED27
765,MED30
766,MED4
767,MEF2A
768,MEF2B
769,MEF2C
770,MEF2D
771,MEFV
772,MFN1
773,MFN2
774,MFNG
775,MIOS
776,MKNK1
777,MKNK2
778,MLKL
779,MLST8
780,MLYCD
781,MMP14
782,MMP9
783,MOB1A
784,MOB1B
785,MPL
786,MRAS
787,MS4A2
788,MST1
789,MTOR
790,MUC5B
791,MYB
792,MYC
793,MYD88
794,MYL4
795,MYL6
796,MYL6B
797,MYL9
798,MYLK
799,MYLK4
800,NAIP
801,NAMPT
802,NBL1
803,NCF1
804,NCK1
805,NCK2
806,NCOA1
807,NCOA2
808,NCOA3
809,NCOR1
810,NCOR2
811,NCSTN
812,NEK7
813,NEO1
814,NF1
815,NF2
816,NFATC1
817,NFATC2
818,NFATC3
819,NFKB1
820,NFKB2
821,NFKBIA
822,NFKBIB
823,NFKBIE
824,NKD1
825,NLK
826,NLRC4
827,NLRP1
828,NLRP12
829,NLRP3
830,NLRP6
831,NLRP7
832,NLRX1
833,NOD1
834,NOD2
835,NODAL
836,NOG
837,NOS3
838,NOTCH1
839,NOTCH2
840,NOTCH4
841,NPRL2
842,NPRL3
843,NR1H3
844,NR4A1
845,NRAS
846,NSMAF
847,NTSR1
848,NUMB
849,NUMBL
850,OLR1
851,ORAI1
852,ORAI2
853,ORAI3
854,OSM
855,OSMR
856,OTUD5
857,P2RY1
858,PAK1
859,PAK2
860,PAK4
861,PAK6
862,PALS1
863,PARD3
864,PARD6A
865,PARD6B
866,PARD6G
867,PATJ
868,PCK2
869,PDCD1
870,PDE1B
871,PDE3A
872,PDE3B
873,PDE4A
874,PDE4B
875,PDE4D
876,PDGFA
877,PDGFB
878,PDGFC
879,PDGFD
880,PDGFRB
881,PDHA1
882,PDHB
883,PDK1
884,PDPK1
885,PF4
886,PF4V1
887,PFKFB2
888,PFKFB3
889,PFKFB4
890,PFKL
891,PFKM
892,PFKP
893,PFN1
894,PFN2
895,PGAM5
896,PGK1
897,PHKA2
898,PHKB
899,PHKG1
900,PHKG2
901,PHLPP1
902,PHLPP2
903,PIAS1
904,PIAS2
905,PIAS3
906,PIAS4
907,PIDD1
